Time,IR_brachial,IR_ankle
3836,108758,104019
3842,108742,103999
3847,108768,103996
3852,108792,103964
3857,108788,103967
3860,108787,103992
3865,108795,103976
3870,108768,103984
3875,108805,103986
3880,108833,103990
3886,108825,103991
3891,108784,104004
3896,108756,103997
3901,108759,104003
3906,108784,103981
3911,108787,103965
3916,108802,103963
3921,108802,103988
3926,108799,103984
3931,108825,104021
3936,108835,104013
3941,108826,104006
3946,108832,104016
3951,108792,104032
3956,108766,104047
3961,108773,104041
3966,108796,104014
3972,108806,104001
3977,108822,104015
3982,108811,104058
3985,108811,104036
3990,108819,104062
3995,108836,104086
4000,108813,104085
4005,108782,104081
4011,108772,104116
4016,108778,104162
4021,108800,104135
4026,108812,104078
4031,108817,104090
4036,108803,104078
4041,108815,104099
4046,108803,104111
4050,108802,104109
4056,108842,104136
4061,108793,104138
4066,108778,104159
4071,108785,104168
4076,108796,104205
4081,108809,104167
4086,108831,104188
4091,108838,104109
4097,108818,104128
4102,108826,104161
4105,108824,104159
4110,108832,104156
4115,108788,104161
4120,108779,104180
4125,108801,104168
4130,108822,104202
4135,108839,104219
4141,108825,104213
4146,108853,104184
4151,108846,104152
4156,108870,104122
4161,108845,104138
4166,108863,104127
4170,108840,104145
4175,108823,104156
4180,108820,104161
4186,108843,104155
4191,108870,104152
4196,108871,104168
4201,108872,104181
4205,108881,104189
4210,108878,104129
4215,108864,104132
4220,108876,104141
4226,108884,104140
4230,108868,104163
4235,108832,104175
4240,108861,104164
4245,108880,104160
4250,108896,104166
4255,108896,104210
4260,108894,104204
4265,108898,104203
4271,108890,104189
4276,108895,104173
4281,108900,104128
4286,108892,104151
4290,108926,104164
4295,108894,104170
4300,108904,104184
4304,108916,104177
4310,108920,104185
4315,108917,104205
4320,108910,104209
4325,108931,104225
4330,108934,104225
4335,108947,104170
4340,108931,104212
4345,108926,104149
4350,108915,104186
4355,108926,104200
4360,108934,104197
4365,108934,104213
4370,108928,104249
4375,108932,104224
4380,108929,104246
4385,108923,104234
4390,108905,104266
4396,108892,104284
4401,108892,104208
4406,108881,104224
4411,108882,104190
4416,108896,104238
4419,108884,104240
4424,108878,104245
4429,108879,104246
4434,108861,104240
4440,108864,104230
4445,108858,104244
4450,108861,104233
4455,108861,104222
