Time,IR_brachial,IR_ankle
4470,109503,103802
4475,109503,103796
4480,109503,103807
4485,109454,103816
4489,109493,103836
4494,109500,103838
4499,109533,103829
4504,109521,103839
4509,109524,103873
4514,109524,103857
4519,109521,103819
4525,109536,103817
4530,109515,103805
4534,109537,103834
4539,109510,103842
4544,109525,103848
4549,109553,103847
4554,109537,103860
4559,109541,103852
4564,109547,103851
4570,109544,103882
4575,109566,103892
4580,109568,103914
4585,109548,103862
4590,109558,103848
4595,109555,103836
4600,109561,103876
4603,109544,103882
4609,109551,103891
4614,109553,103887
4619,109557,103890
4624,109566,103909
4629,109559,103955
4634,109565,103916
4639,109560,103903
4644,109560,103867
4649,109567,103854
4655,109569,103892
4659,109566,103904
4664,109582,103905
4669,109588,103905
4674,109593,103921
4679,109599,103952
4684,109581,103941
4689,109610,103949
4695,109601,103968
4700,109593,103925
4705,109601,103907
4710,109606,103909
4715,109603,103907
4720,109597,103903
4723,109615,103934
4728,109610,103957
4733,109614,103952
4739,109616,103970
4744,109602,103972
4749,109620,103967
4754,109594,103997
4759,109610,103975
4764,109598,103946
4769,109581,103923
4774,109597,103959
4779,109587,103964
4784,109587,103980
4789,109586,103975
4794,109563,103978
4799,109550,103980
4804,109567,104006
4809,109558,104006
4814,109545,104009
4819,109547,103987
4825,109528,103948
4830,109537,103901
4835,109503,103901
4840,109525,103924
4844,109509,103906
4849,109499,103895
4854,109523,103891
4858,109510,103843
4864,109506,103831
4869,109504,103822
4874,109487,103810
4879,109503,103775
4884,109502,103729
4889,109492,103676
4894,109494,103708
4898,109494,103725
4903,109494,103709
4909,109475,103702
4914,109480,103685
4919,109482,103663
4924,109477,103678
4929,109467,103707
4934,109470,103717
4939,109470,103675
4944,109471,103604
4950,109454,103626
4955,109468,103590
4960,109461,103615
4964,109453,103630
4969,109461,103657
4974,109461,103636
4979,109456,103635
4984,109436,103644
4989,109456,103674
4995,109462,103640
5000,109471,103646
5005,109459,103619
5010,109465,103631
5013,109477,103633
5018,109474,103646
5023,109475,103660
5028,109476,103656
5033,109464,103668
5039,109475,103674
5044,109484,103675
5049,109477,103716
5054,109475,103731
5059,109480,103641
5064,109492,103682
5069,109483,103675
5074,109487,103691
5079,109496,103715
5084,109475,103716
5089,109485,103742
5094,109488,103763
5099,109491,103754
5104,109486,103783
5109,109492,103786
5114,109493,103795
5120,109474,103765
5125,109478,103748
5130,109485,103751
5135,109478,103772
5138,109497,103787
5143,109506,103804
5148,109510,103804
5153,109501,103799
5158,109508,103829
5164,109504,103835
5169,109512,103843
5174,109496,103862
5179,109496,103791
5184,109507,103794
5189,109495,103807
5194,109519,103802
5198,109502,103844
5203,109504,103827
5209,109505,103851
5214,109521,103823
